,hostname,st_teff,st_mass,st_rad,st_met,st_lum,st_age,st_vsin
3234,Kepler-995,5198.0,0.8113333333333332,0.7926157,0.16,-0.41918,13.7,5.598415605095542
3235,Kepler-996,5920.314,1.008,1.099601,-0.5,0.24247,3.63,5.598415605095542
3236,Kepler-997,6179.636363636364,1.122,1.41338,-0.28,0.49569,2.8,5.598415605095542
3237,Kepler-998,5943.9,1.0425555555555555,1.070696,-0.12,0.1929,3.31,5.598415605095542
3238,Kepler-999,6178.538181818181,1.1654,1.5163527272727273,-0.06,0.5381,3.09,5.598415605095542
3239,L 168-9,3809.0,0.618,0.60025175,-0.03,-1.14086,4.626927679362267,5.598415605095542
3240,L 363-38,3129.0,0.21,0.274,-0.011613784696174044,-1.88606,8.07,5.598415605095542
3241,L 98-59,3410.7571428571428,0.296142,0.31190533333333337,-0.476,-1.9337620000000002,2.536,2.2393662420382165
3242,LHS 1140,3122.45,0.176315,0.20982475,-0.251,-2.5068799999999998,5.0,5.598415605095542
3243,LHS 1478,3397.5,0.236,0.25309349999999997,-0.13,-2.14569,4.626927679362267,2.0
3244,LHS 1815,3638.5,0.502,0.501767,-0.12,-1.38722,4.626927679362267,5.598415605095542
3245,LHS 3154,2861.0,0.1118,0.1405,-0.011613784696174044,-2.72125,5.0,2.0
3246,LHS 3844,3037.75,0.151,0.18890600000000002,-0.011613784696174044,-2.56543,4.626927679362267,5.598415605095542
3247,LHS 475,3261.0,0.268,0.2841323333333333,-0.011613784696174044,-2.06449,4.626927679362267,5.598415605095542
3248,LP 261-75 A,5415.146316594372,0.22,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,0.15,5.598415605095542
3249,LP 714-47,3907.25,0.59,0.58993775,0.41,-1.12494,4.626927679362267,2.0
3250,LP 791-18,2956.1111111111113,0.139,0.17688916666666665,-0.09000000000000001,-2.6577800000000003,0.5,2.0
3251,LP 890-9,2859.25,0.118,0.1555745,-0.028,-2.84134,7.2,5.598415605095542
3252,LSPM J2116+0234,3475.0,0.43,0.431,-0.05,-1.69897,2.0,2.0
3253,LTT 9779,5447.0,1.02,0.95675,0.27,-0.16749,2.0,1.06
3254,LkCa 15,4194.0,0.9374114862076482,1.60711,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3255,Luhman 16 A,5415.146316594372,0.03319999999999999,1.5078594734632043,-0.011613784696174044,-4.66,4.626927679362267,5.598415605095542
3256,Lupus-TR-3,5000.0,0.87,0.82,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3257,M62H,5415.146316594372,1.4,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3258,MASCARA-1,7645.666666666667,1.81,2.0673333333333335,0.15,1.08279,0.8,101.7
3259,MOA-2007-BLG-192L,5415.146316594372,0.06,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3260,MOA-2007-BLG-400L,5415.146316594372,0.495,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3261,MOA-2008-BLG-310L,5415.146316594372,0.44,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
3262,MOA-2008-BLG-379L,5415.146316594372,0.56,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
